Judul,Harga_Rupiah,Provinsi,Kota,Kecamatan,Kamar_Tidur,Kamar_Mandi,Luas_Tanah_m2,Luas_Bangunan_m2,Daya_Listrik_Watt,Jumlah_Lantai,Tipe_Properti
"Dijual Hunian Rumah Nyaman 3 KT di Cijantung, Jakarta Timur",670000000,Jakarta,Jakarta Timur,,3,2,54.0,52.0,2200.0,2.0,secondary
"Best Deal Hunian Premium Ideal dan Luas di Kelapa Gading, Jakarta Utara",5600000000,Jakarta,Jakarta Utara,Kelapa Gading,4,3,180.0,250.0,5500.0,1.0,secondary
Rumah Minimalis 3 Kamar LT 90m2 di Green Lake City,2400000000,Jakarta,Jakarta Barat,,3,3,90.0,125.0,2200.0,2.0,secondary
Rumah Modern Minimalis 2 Kamar Siap Huni di Cengkareng,650000000,Jakarta,Jakarta Barat,Cengkareng,2,1,46.0,40.0,2200.0,2.0,secondary
Siap Huni Rumah Mewah 4 Kamar di Cengkareng Dekat ke Mana Pun,5000000000,Jakarta,Jakarta Barat,Cengkareng,4,3,200.0,300.0,5500.0,2.0,secondary
"Dijual Rumah Mewah Elegan Dengan View Eksklusif di Bintaro, Jakarta Selatan",2700000000,Jakarta,Jakarta Selatan,,4,3,310.0,250.0,2200.0,0.0,secondary
"Hunian Super Elit dengan Akses Paling Strategis di Radio Dalam, Jakarta Selatan",11500000000,Jakarta,Jakarta Selatan,,5,3,382.0,284.0,7700.0,2.0,secondary
Siap Huni Hunian Elit 5 Kamar di Palmerah Dekat ke Mana Saja,9500000000,Jakarta,Jakarta Barat,Palmerah,5,3,350.0,450.0,7700.0,1.0,secondary
Rumah Elit Modern Siap Huni di Petukangan Jakarta Selatan,5500000000,Jakarta,Jakarta Selatan,,5,3,403.0,357.0,2200.0,2.0,secondary
For Sale! Premium House LT 167m2 Desain Elegan di Bintaro,3600000000,Jakarta,Jakarta Selatan,,4,3,167.0,171.0,4400.0,2.0,secondary
Rumah Minimalis 2 KT di Semanan Jakarta Barat Unfurnished,1680000000,Jakarta,Jakarta Barat,,2,2,84.0,69.0,2200.0,2.0,secondary
Rumah Luxury Modern Siap Huni di Cideng Jakarta Pusat,6500000000,Jakarta,Jakarta Pusat,,5,4,247.0,320.0,3300.0,2.0,secondary
Rumah Luxury Modern Tanpa Renovasi di Kedoya Selatan Jakarta Barat,7000000000,Jakarta,Jakarta Barat,,4,2,186.0,450.0,11000.0,3.0,secondary
Rumah Modern 3 Kamar LT 66m2 di Metland Puri,2200000000,Jakarta,Jakarta Barat,,3,2,66.0,82.0,2200.0,2.0,secondary
"Dijual Rumah Luas Elegan Dengan View Eksklusif di Pondok Kelapa, Jakarta Timur",2750000000,Jakarta,Jakarta Timur,,4,3,175.0,250.0,3500.0,2.0,secondary
"Hunian Cantik Minimalis Lb 148m2 di Duren Sawit, Jakarta Timur",2170000000,Jakarta,Jakarta Timur,Duren Sawit,4,3,90.0,148.0,3500.0,2.0,secondary
Siap Huni Rumah Mewah 5 Kamar di Cempaka Putih Dekat ke Mana Saja,8500000000,Jakarta,Jakarta Pusat,Cempaka Putih,5,6,183.0,427.0,5500.0,3.0,secondary
Rumah Modern 4 KT LT 79m2 di Pondok Bambu,2000000000,Jakarta,Jakarta Timur,,4,4,79.0,125.0,2200.0,3.0,secondary
"Hunian Super Mewah dengan Akses Paling Strategis di Kayu Putih, Jakarta Timur",3500000000,Jakarta,Jakarta Timur,,4,4,96.0,200.0,2200.0,3.0,secondary
"Dijual Rumah Luas Elegan Dengan View Eksklusif di Condet, Jakarta Timur",16500000000,Jakarta,Jakarta Timur,,7,5,844.0,650.0,11000.0,2.0,secondary
For Sale! Premium House LT 590m2 Desain Modern di Jatiwaringin,8700000000,Jakarta,Jakarta Timur,,6,3,590.0,300.0,3500.0,2.0,secondary
Dijual Rumah Strategis Bagus Punya 3 KT di Duren Sawit Jakarta Timur SHM,2400000000,Jakarta,Jakarta Timur,Duren Sawit,3,2,107.0,135.0,2200.0,2.0,secondary
"Best Deal Hunian Mewah Ideal dan Luas di Cempaka Putih, Jakarta Pusat",5850000000,Jakarta,Jakarta Pusat,Cempaka Putih,4,4,169.0,290.0,3500.0,2.0,secondary
"Dijual Rumah Mewah Exclusive di Cilandak, Jakarta Selatan",12000000000,Jakarta,Jakarta Selatan,Cilandak,6,4,221.0,400.0,7700.0,3.0,secondary
Ready to Use! Premium House LT 117m2 Desain Elegan di Pondok Kelapa,2550000000,Jakarta,Jakarta Timur,,4,2,117.0,113.0,2200.0,2.0,secondary
Rumah Modern Cantik 5 KT Bisa Langsung Pindah di Duren Sawit,2000000000,Jakarta,Jakarta Timur,Duren Sawit,5,2,120.0,100.0,2200.0,2.0,secondary
Rumah Minimalis 3 Kamar LT 58m2 di Cibubur,764000000,Jakarta,Jakarta Timur,,3,2,58.0,70.0,2200.0,2.0,secondary
"Jual Rumah Favorit Siap Huni LB 200m2 di Cakung, Jakarta Timur",1350000000,Jakarta,Jakarta Timur,Cakung,3,3,66.0,200.0,2200.0,3.0,secondary
Rumah Elit Modern Siap Huni di Rawamangun Jakarta Timur,2900000000,Jakarta,Jakarta Timur,,10,3,173.0,190.0,4400.0,2.0,secondary
Dijual Rumah 3 Kamar Lokasi Ideal Nyaman dan Strategis di Cipayung,865000000,Jakarta,Jakarta Timur,Cipayung,3,2,45.0,80.0,2200.0,2.0,secondary
Rumah Minimalis 4 Kamar LT 170m2 di Pondok Bambu,2400000000,Jakarta,Jakarta Timur,,4,4,170.0,93.0,2200.0,3.0,secondary
Rumah Modern Cantik 3 Kamar Siap Huni di Ciracas,1380000000,Jakarta,Jakarta Timur,Ciracas,3,2,60.0,127.0,2200.0,3.0,secondary
Hunian Nyaman Asri 3 KT Siap Huni di Kalisari Jakarta Timur,690000000,Jakarta,Jakarta Timur,,3,2,40.0,52.0,2200.0,2.0,secondary
Rumah Modern 4 KT di Bambu Apus Jakarta Timur Unfurnished,2260000000,Jakarta,Jakarta Timur,,4,3,85.0,137.0,2200.0,3.0,secondary
Dijual Rumah 4 Kamar Lokasi Strategis Bagus dan Strategis di Kramat Jati,1680000000,Jakarta,Jakarta Timur,Kramat Jati,4,3,65.0,127.0,2200.0,3.0,secondary
"Dijual Cepat Rumah Bagus Siap Huni LB 70m2 di Duren Sawit, Jakarta Timur",1450000000,Jakarta,Jakarta Timur,Duren Sawit,3,2,55.0,70.0,2200.0,2.0,secondary
Rumah Modern 3 KT LT 80m2 di Cijantung,1450000000,Jakarta,Jakarta Timur,,3,2,80.0,90.0,2200.0,2.0,secondary
Rumah Luas Asri 3 KT Siap Pakai di Cibubur Jakarta Timur,850000000,Jakarta,Jakarta Timur,,3,2,63.0,80.0,2200.0,2.0,secondary
"Hunian Super Elit dengan Akses Paling Strategis di Rawamangun, Jakarta Timur",2900000000,Jakarta,Jakarta Timur,,5,5,75.0,260.0,3500.0,4.0,secondary
"Hunian Cantik Modern Lb 90m2 di Cipayung, Jakarta Timur",850000000,Jakarta,Jakarta Timur,Cipayung,3,2,50.0,90.0,2200.0,2.0,secondary
"Hunian Cantik Modern Lb 82m2 di Ciracas, Jakarta Timur",1140000000,Jakarta,Jakarta Timur,Ciracas,3,2,52.0,82.0,2200.0,2.0,secondary
Hunian Nyaman Asri 3 KT Siap Pakai di Kalisari Jakarta Timur,800000000,Jakarta,Jakarta Timur,,3,2,50.0,56.0,2200.0,2.0,secondary
"Hunian Cantik Minimalis Lb 127m2 di Kramat Jati, Jakarta Timur",1880000000,Jakarta,Jakarta Timur,Kramat Jati,4,3,65.0,127.0,2200.0,3.0,secondary
