Judul,Harga_Rupiah,Provinsi,Kota,Kecamatan,Kamar_Tidur,Kamar_Mandi,Luas_Tanah_m2,Luas_Bangunan_m2,Daya_Listrik_Watt,Jumlah_Lantai,Tipe_Properti
"Dijual Rumah Eksklusif 3 KT di Pulogebang, Jakarta Timur",2300000000,Jakarta,Jakarta Timur,,3,2,298.0,99.0,0.0,1.0,secondary
Jual Rumah Strategis Bagus Punya 3 KT di Ciracas Jakarta Timur SHM,600000000,Jakarta,Jakarta Timur,Ciracas,3,2,52.0,52.0,0.0,2.0,secondary
Jakarta Garden City (Landed House),1313000000,Jakarta,Jakarta Timur,Cakung,0,0,,,,,
"Dijual Hunian Rumah Nyaman 3 KT di Cijantung, Jakarta Timur",670000000,Jakarta,Jakarta Timur,,3,2,54.0,52.0,2200.0,2.0,secondary
"Best Deal Hunian Premium Ideal dan Luas di Kelapa Gading, Jakarta Utara",5600000000,Jakarta,Jakarta Utara,Kelapa Gading,4,3,180.0,250.0,5500.0,1.0,secondary
Rumah Minimalis 3 Kamar LT 90m2 di Green Lake City,2400000000,Jakarta,Jakarta Barat,,3,3,90.0,125.0,2200.0,2.0,secondary
Rumah Modern Minimalis 2 Kamar Siap Huni di Cengkareng,650000000,Jakarta,Jakarta Barat,Cengkareng,2,1,46.0,40.0,2200.0,2.0,secondary
Nivara Resort Townhouse at Wijaya,7900000000,Jakarta,Jakarta Selatan,Kebayoran Baru,0,0,,,,,
Siap Huni Rumah Mewah 4 Kamar di Cengkareng Dekat ke Mana Pun,5000000000,Jakarta,Jakarta Barat,Cengkareng,4,3,200.0,300.0,5500.0,2.0,secondary
Hunian Premium di Jakarta Utara Strategis Kondisi Baik,15000000000,Jakarta,Jakarta Utara,,0,0,700.0,1000.0,0.0,1.0,secondary
"Hunian Elit LB 525m2 Siap Pakai Desain Elegan di Pondok Indah, Jakarta Selatan",34000000000,Jakarta,Jakarta Selatan,,5,5,491.0,525.0,0.0,2.0,secondary
"Hunian Mewah LB 500m2 Siap Pakai Desain Elegan di Lebak Bulus, Jakarta Selatan",26000000000,Jakarta,Jakarta Selatan,,7,5,650.0,500.0,0.0,2.0,secondary
Pacific Garden Puri,2040007500,Jakarta,Jakarta Barat,Kembangan,0,0,,,,,
"Dijual Rumah Mewah Elegan Dengan View Eksklusif di Bintaro, Jakarta Selatan",2700000000,Jakarta,Jakarta Selatan,,4,3,310.0,250.0,2200.0,0.0,secondary
"Hunian Super Elit dengan Akses Paling Strategis di Radio Dalam, Jakarta Selatan",11500000000,Jakarta,Jakarta Selatan,,5,3,382.0,284.0,7700.0,2.0,secondary
Siap Huni Hunian Elit 5 Kamar di Palmerah Dekat ke Mana Saja,9500000000,Jakarta,Jakarta Barat,Palmerah,5,3,350.0,450.0,7700.0,1.0,secondary
Rumah Elit Modern Siap Huni di Petukangan Jakarta Selatan,5500000000,Jakarta,Jakarta Selatan,,5,3,403.0,357.0,2200.0,2.0,secondary
Metland Transyogi,1380000000,Jakarta,Jakarta Timur,,0,0,,,,,
Rumah Luxury Modern Siap Huni di Pondok Indah Jakarta Selatan,55000000000,Jakarta,Jakarta Selatan,,8,3,892.0,621.0,10000.0,2.0,secondary
Maison De Wisteria,2400000000,Jakarta,Jakarta Timur,Cakung,0,0,,,,,
"Hunian Super Elit dengan Akses Paling Strategis di Bintaro, Jakarta Selatan",7500000000,Jakarta,Jakarta Selatan,,4,4,670.0,320.0,0.0,1.0,secondary
For Sale! Premium House LT 167m2 Desain Elegan di Bintaro,3600000000,Jakarta,Jakarta Selatan,,4,3,167.0,171.0,4400.0,2.0,secondary
"Hunian Super Elit dengan Akses Paling Strategis di Puri Indah, Jakarta Barat",25000000000,Jakarta,Jakarta Barat,,4,3,560.0,800.0,0.0,2.0,secondary
Rumah Minimalis 2 KT di Semanan Jakarta Barat Unfurnished,1680000000,Jakarta,Jakarta Barat,,2,2,84.0,69.0,2200.0,2.0,secondary
Rumah Minimalis 3 KT LT 66m2 di Metland Puri,1920000000,Jakarta,Jakarta Barat,,3,2,66.0,67.0,0.0,2.0,secondary
Rumah Luxury Modern Siap Huni di Cideng Jakarta Pusat,6500000000,Jakarta,Jakarta Pusat,,5,4,247.0,320.0,3300.0,2.0,secondary
Rumah Luxury Modern Tanpa Renovasi di Kedoya Selatan Jakarta Barat,7000000000,Jakarta,Jakarta Barat,,4,2,186.0,450.0,11000.0,3.0,secondary
Rumah Modern 3 Kamar LT 66m2 di Metland Puri,2200000000,Jakarta,Jakarta Barat,,3,2,66.0,82.0,2200.0,2.0,secondary
Rumah Luxury Modern Siap Huni di Citra Garden Jakarta Barat,2800000000,Jakarta,Jakarta Barat,,3,3,90.0,170.0,0.0,2.0,secondary
"Jual Rumah Modern 3 KT di Semanan, Jakarta Barat",1940000000,Jakarta,Jakarta Barat,,3,2,90.0,122.0,0.0,2.0,secondary
"Rumah Mewah Dijual LT 264m2 di Tebet, Jakarta Selatan",8900000000,Jakarta,Jakarta Selatan,Tebet,5,3,264.0,350.0,0.0,2.0,secondary
"Dijual Rumah Luas Elegan Dengan View Eksklusif di Pondok Kelapa, Jakarta Timur",2750000000,Jakarta,Jakarta Timur,,4,3,175.0,250.0,3500.0,2.0,secondary
"Hunian Cantik Minimalis Lb 148m2 di Duren Sawit, Jakarta Timur",2170000000,Jakarta,Jakarta Timur,Duren Sawit,4,3,90.0,148.0,3500.0,2.0,secondary
Siap Huni Rumah Mewah 5 Kamar di Cempaka Putih Dekat ke Mana Saja,8500000000,Jakarta,Jakarta Pusat,Cempaka Putih,5,6,183.0,427.0,5500.0,3.0,secondary
Rumah Modern 4 KT LT 79m2 di Pondok Bambu,2000000000,Jakarta,Jakarta Timur,,4,4,79.0,125.0,2200.0,3.0,secondary
"Hunian Super Mewah dengan Akses Paling Strategis di Kayu Putih, Jakarta Timur",3500000000,Jakarta,Jakarta Timur,,4,4,96.0,200.0,2200.0,3.0,secondary
"Dijual Rumah Luas Elegan Dengan View Eksklusif di Condet, Jakarta Timur",16500000000,Jakarta,Jakarta Timur,,7,5,844.0,650.0,11000.0,2.0,secondary
For Sale! Premium House LT 590m2 Desain Modern di Jatiwaringin,8700000000,Jakarta,Jakarta Timur,,6,3,590.0,300.0,3500.0,2.0,secondary
"Dijual Hunian Rumah Terawat 3 Kamar di Cijantung, Jakarta Timur",895000000,Jakarta,Jakarta Timur,,3,2,60.0,60.0,0.0,2.0,secondary
Dijual Rumah Strategis Bagus Punya 3 KT di Duren Sawit Jakarta Timur SHM,2400000000,Jakarta,Jakarta Timur,Duren Sawit,3,2,107.0,135.0,2200.0,2.0,secondary
"Best Deal Hunian Mewah Ideal dan Luas di Cempaka Putih, Jakarta Pusat",5850000000,Jakarta,Jakarta Pusat,Cempaka Putih,4,4,169.0,290.0,3500.0,2.0,secondary
"Hunian Super Elit dengan Akses Paling Strategis di Pondok Kelapa, Jakarta Timur",5700000000,Jakarta,Jakarta Timur,,6,5,206.0,500.0,0.0,3.0,secondary
For Sale! Luxury House LT 325m2 Desain Elegan di Pantai Indah Kapuk,13000000000,Jakarta,Jakarta Utara,,7,7,325.0,650.0,0.0,2.0,secondary
"Hunian Elit LB 250m2 Siap Pakai Desain Elegan di Sunter, Jakarta Utara",7000000000,Jakarta,Jakarta Utara,,4,4,180.0,250.0,0.0,3.0,secondary
"Hunian Super Elit dengan Akses Paling Strategis di Cawang, Jakarta Timur",11000000000,Jakarta,Jakarta Timur,,5,5,313.0,300.0,0.0,2.0,secondary
"Hunian Eksklusif Dijual LT 90m2 di Kebon Jeruk, Jakarta Barat",3600000000,Jakarta,Jakarta Barat,Kebon Jeruk,5,2,90.0,270.0,0.0,4.0,secondary
"Dijual Hunian Rumah Nyaman 2 KT di Pantai Indah Kapuk 2, Jakarta Utara",2200000000,Jakarta,Jakarta Utara,,2,1,60.0,73.0,0.0,2.0,secondary
